id,category,subcategory,transliteration,translation,arabic,reference
482,Daily Routine,Invocation for entering the mosque,"'A'oothu billaahil-'Adheem, wa bi-Wajhihil-Kareem, wa Sultaanihil-qadeem, minash-Shaytaanir-rajeem. [Bismillaahi, wassalaatu.] [Wassalaamu 'alaaRasoolillaahi.] Allaahum-maftah lee 'abwaaba rahmatika","I seek refuge in Almighty Allah, by His Noble Face, by His primordial power, from Satan the outcast.1 [In the Name of Allah, and blessings.]2 [And peace be upon the Messenger of Allah.]3 O Allah, open before me the doors of Your mercy.4","أَعُوذُ بِاللهِ الْعَظِيمِ، وَبِوَجْهِهِ الْكَرِيمِ، وَسُلْطَانِهِ الْقَدِيمِ، مِنَ الشَّيْطَانِ الرَّجِيمِ"". [بِسْمِ اللهِ، وَالصَّلَاةُ وَالسَّلَّامُ عَلَى رَسُولِ اللهِ] ""اللَّهُمَّ افْتَحْ لِي أَبْوَابَ رَحْمَتِكَ","Reference: 1. Abu Dawud and Al-Albani, Sahihul-Jdmi' As-Saghir (Hadithno. 4591).
2.  Ibn As-Sunni (Hadith no. 88), graded good by Al-Albani.
3 . Abu Dawud 1/126, see also Al-Albani, Sahihul-Jami'As-Saghir 1/528.
4. Muslim 1/494. There is also a report in Sunan Ibn Majah on the authority of Fatimah (RA), : ""O Allah, forgive me my sins and open for me the doors of Your mercy."" It was graded authentic by Al-Albani due to supporting Ahadith. See Sahih Ibn Majah 1/128-9"
472,Daily Routine,Invocation for entering the restroom,[Bismillaahi] Allaahumma 'innee 'a'oothu bika minal-khubthi walkhabaa'ith.,"(Before entering) [In the Name of Allah] . (Then) O Allah , I seek protection in You from the male and female unclean spirits.",[بِسْمِ اللهِ] اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبُْثِ وَالْخَبَائِثِ,"Reference: Al-Bukhari 1/45, Muslim 1/283. The addition of Bismillah at its beginning was reported by Said bin Mansur. See Fathul-Bari 1/244"
481,Daily Routine,Invocation for going to the mosque,"Allaahummaj'al fee qalbee nooran, wa fee lisaaanee nooran, wa fee sam'ee nooran, wa fee basaree nooran, wa min fawqee nooran, wa min tahtee nooran, wa 'an yameenee nooran, wa 'an shimaalee nooran, wa min 'amaamee nooran, wa min khalfee nooran, waj'alfee nafsee nooran, wa 'a'dhim lee nooran, wa 'adhdhim lee nooran, wafal lee nooran, waj'alnee nooran, Allaahumma 'a'tinee nooran, waj'al fee 'asabee nooran, wafee lahmee nooran, wafee damee nooran, wa fee sha'ree nooran, wa fee basharee nooran. [Allaahummaj'al lee nooran fee qabree wa nooran fee 'idhaamee.] [Wa zidnee nooran, wa zidnee nooran, wa zidnee nooran.][Wa hab lee nooran 'alaa noor.]","O Allah, place light in my heart, and on my tongue light, and in my ears light and in my sight light, and above me light, and below me light, and to my right light, and to my left light, and before me light and behind me light. Place in my soul light. Magnify for me light, and amplify for me light. Make for me light and make me a light. O Allah, grant me light, and place light in my nerves, and in my body light and in my blood light and in my hair light and in my skin light.1 [O Allah, make for me a light in my grave... and a light in my bones.](At-Tirmithi 5/483 (Hadith no. 3419).) [Increase me in light, increase me in light, increase me in light .](Al-Bukhari in Al-'Adab Al-Mufrad (Hadith no. 695), p. 258. See also Al-Albani, Sahih Al-'Adab Al-Mufrad(no. 536).) [Grant me light upon light.]","اللَّهُمَّ اجْعَلْ فِي قَلْبِي نُوراً، وَفِي لِسَانِي نُوراً، وَفِي سَمْعِي نُوراً، وَفِي بَصَرِي نُوراً، وَمِنْ فَوقِي نُوراً، وَمِنْ تَحْتِِي نُوراً، وَعَنْ يَمِينِي نُوراً، وَعَنْ شِمَالِي نُوراً، وَمِن أَمَامِي نُوراً، وَمِنْ خَلْفِِي نُوراً، وَاجْعَلْ فِي نَفْسِي نُوراً، وَأَعْظِمْ لِي نُوراً، وَعَظِّمْ لِي نُوراً، وِاجْعَلْ لِي نُوراً، وَاجْعَلْنِي نُوراً، اللَّهُمَّ أَعْطِنِي نُوراً، وَاجْعَلْ فِي عَصَبِي نُوراً، وَفِي لَحْمِي نُوراً، وَفِي دَمِي نُوراً، وَفِي شَعْرِي نُوراً، وَفِي بَشَرِي نُوراً،"" [""اللَّهُمَّ اجْعَلْ لِي نُوراً فِي قَبْرِي.. وَنُوراً فِي عِظَامِي""] [""وَزِدْنِي نُوراً، وَزِدْنِي نُوراً، وَزِدْنِي نُوراً""] [""وَهَبْ لِي نُوراً عَلَى نُورٍ""]","Reference: 1 Up to this point was reported by Al-Bukhari 11 / 116 (Hadith no. 6316) and by Muslim 1/526, 529-530 (Hadithno. 763)."
483,Daily Routine,Invocation for leaving the mosque,"Bismillaahi wassalaatu wassalaamu 'alaa Rasoolillaahi, Allaahumma 'innee 'as'aluka min fadhlika, Allaahumma'simnee minash-Shaytaanir-rajeem.","In the Name of Allah, and peace and blessings be upon the Messenger of Allah. O Allah, I ask for Your favor, O Allah, protect me from Satan the outcast.",بِسْمِ اللهِ، وَالصَّلَاةُ وَالسَّلَّامُ عَلَى رَسُولِ اللهِ، اللَّهُمَّ إَنِّي أَسْأَلُكَ مِنْ فَضْلِكَ، اللَّهُمَّ اعصِمْنِي مِنَ الشَّيْطَانِ الرَّجِيمِ,null
473,Daily Routine,Invocation for leaving the restroom,Ghufraanaka,I seek Your forgiveness.,غُفْرَانَكَ,"Reference: Abu Dawud, Ibn Majah and At-Tirmithi. An-Nasa'i recorded it in 'Amalul-Yawm wal-Laylah. Also see the checking of Ibn Al-Qayyim's Zadul-Ma'ad, 2/387."
469,Daily Routine,Invocations for someone who has put on new clothes,Tublee wa yukhliful-laahu ta'aalaa.,May Allah replace it when it is worn out.,تُبْلِي وَيُخْلِفُ اللهُ تَعَالَى,Reference: Abu Dawud 4/41. See also Al-Albani Sahih Abu Dawud 2/760.
470,Daily Routine,Invocations for someone who has put on new clothes,"Ilbas jadeedan, wa 'ish hameedan, wa mut shaheedan.","Put on new clothes , live a praise-worthy life and die as a martyr.",الْبَسْ جَدِيداً، وَعِشْ حَمِيداً، وَمُتْ شَهِيداً,"Reference: Ibn Majah 2/1178, Al-Baghawi 12/41. See also Al-Albani, Sahih Ibn Majah 2/275"
467,Daily Routine,Invocation when getting dressed,"Allaahumma lakal-hamdu 'Anta kasawtaneehi, 'as'aluka min khayrihi wa khayri maa suni'a lahu, wa 'a'oothu bika min sharrihi wa sharri ma suni'a lahu.","O Allah, praise is to You. You have clothed me. I ask You for its goodness and the goodness of what it has been made for, and I seek Your protection from the evil of it and the evil of what it has been made for.",اللَّهُمَّ لَكَ الْحَمْدُ أَنْتَ كَسَوْتَنِيهِ، أَسْأَلُكَ مِنْ خَيْرِهِ وَخَيْرِ مَا صُنِعَ لَهُ، وَأَعُوذُ بِكَ مِنْ شَرِّهِ وَشَرِّ مَا صُنِعَ لَهُ,"Reference: Abu Dawud and At-Tirmithi. See also Al-Albani, Mukhtasar Shamd'il At-Tirmithi, p. 47."
468,Daily Routine,Invocation when putting on new clothes,"Allaahumma lakal-hamdu 'Anta kasawtaneehi, 'as'aluka min khayrihi wa khayri maa suni'a lahu, wa 'a'oothu bika min sharrihi wa sharri ma suni'a lahu.","O Allah, praise is to You. You have clothed me. I ask You for its goodness and the goodness of what it has been made for, and I seek Your protection from the evil of it and the evil of what it has been made for.",اللَّهُمَّ لَكَ الْحَمْدُ أَنْتَ كَسَوْتَنِيهِ، أَسْأَلُكَ مِنْ خَيْرِهِ وَخَيْرِ مَا صُنِعَ لَهُ، وَأَعُوذُ بِكَ مِنْ شَرِّهِ وَشَرِّ مَا صُنِعَ لَهُ,"Reference: Abu Dawud and At-Tirmithi. See also Al-Albani, Mukhtasar Shamd'il At-Tirmithi, p. 47."
462,Daily Routine,Supplications for when you wake up,Alhamdu lillaahil-lathee 'ahyaanaa ba'da maa 'amaatanaa wa'ilayhin-nushoor.,Praise is to Allah Who gives us life after He has caused us to die and to Him is the return.,الْحَمْدُ للهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,"Reference: Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/113; Muslim 4/2083"
